Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Winter 2018","Regular Academic Session","Engineering","21421","University Arts (UARTS) Open Sections"," 550","101","Creative Process","LAB","P R","M","","W","","","","","01/03/2018","04/17/2018","3-5PM","ARR","Rush, Thompson","  20","  20","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","32527","University Arts (UARTS) Open Sections"," 550","100","Creative Process","LEC","A R","","","W","","","","","01/03/2018","04/17/2018","5-6PM","ARR","Rush, Thompson"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Engineering","29366","University Arts (UARTS) Open Sections"," 590","001","Spec Topics in UARTS","LEC","PI ","","T","","","","","","01/03/2018","04/17/2018","9-12PM","ARR","Fure, Albert","  40","  40","N","3.00",
"Winter 2018","First 7 Week Session","Engineering","10734","Industrial And Operations Engineering (IOE) Open Sections"," 201","001","Econ Dec Making","LEC","P R","","T","","TH","","","","01/03/2018","02/20/2018","830-1030AM","1610 IOE",""," 120"," 120","N","2.00",
"Winter 2018","Second 7 Week Session","Engineering","10735","Industrial And Operations Engineering (IOE) Open Sections"," 202","001","Operations Modeling","LEC","P R","","T","","TH","","","","03/05/2018","04/17/2018","830-1030AM","1610 IOE",""," 120"," 120","N","2.00",
"Winter 2018","Regular Academic Session","Engineering","10736","Industrial And Operations Engineering (IOE) Open Sections"," 265","100","Prob&Stat Engr","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","9-1030AM","1610 IOE","Chao"," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10737","Industrial And Operations Engineering (IOE) Open Sections"," 310","001","Intro to Optim Meth","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","1311 EECS",""," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10744","Industrial And Operations Engineering (IOE) Open Sections"," 316","001","Intro Markov Proc","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","1610 IOE",""," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10745","Industrial And Operations Engineering (IOE) Open Sections"," 333","001","Ergonomics","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","12-130PM","1610 IOE","D'Souza"," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10746","Industrial And Operations Engineering (IOE) Open Sections"," 334","001","Ergonomics Lab","LAB","P R","M","","","","","","","01/03/2018","04/17/2018","130-330PM","G699 IOE","Woolley","  15","  15","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10747","Industrial And Operations Engineering (IOE) Open Sections"," 334","003","Ergonomics Lab","LAB","P R","M","","","","","","","01/03/2018","04/17/2018","530-730PM","G699 IOE","Woolley","  16","  16","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10748","Industrial And Operations Engineering (IOE) Open Sections"," 334","004","Ergonomics Lab","LAB","P R","","T","","","","","","01/03/2018","04/17/2018","130-330PM","G699 IOE","Woolley","  16","  16","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10749","Industrial And Operations Engineering (IOE) Open Sections"," 334","005","Ergonomics Lab","LAB","P R","","T","","","","","","01/03/2018","04/17/2018","330-530PM","G699 IOE","Woolley","  16","  16","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10750","Industrial And Operations Engineering (IOE) Open Sections"," 334","006","Ergonomics Lab","LAB","P R","","T","","","","","","01/03/2018","04/17/2018","530-730PM","G699 IOE","Woolley","  16","  16","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10751","Industrial And Operations Engineering (IOE) Open Sections"," 334","002","Ergonomics Lab","LAB","P R","M","","","","","","","01/03/2018","04/17/2018","330-530PM","G699 IOE","Woolley","  16","  16","N","1.00",
"Winter 2018","Regular Academic Session","Engineering","10752","Industrial And Operations Engineering (IOE) Open Sections"," 366","001","Linear Stat Models","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","130-3PM","1610 IOE","Byon"," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10754","Industrial And Operations Engineering (IOE) Open Sections"," 373","002","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","930-1030AM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10755","Industrial And Operations Engineering (IOE) Open Sections"," 373","003","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","1030-1130AM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10756","Industrial And Operations Engineering (IOE) Open Sections"," 373","004","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","1130-1230PM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10757","Industrial And Operations Engineering (IOE) Open Sections"," 373","005","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","1230-130PM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10758","Industrial And Operations Engineering (IOE) Open Sections"," 373","006","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","130-230PM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10759","Industrial And Operations Engineering (IOE) Open Sections"," 373","007","Data Processing","LAB","P R","","","","","F","","","01/03/2018","04/17/2018","230-330PM","G610 IOE","","  18","  18","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10753","Industrial And Operations Engineering (IOE) Open Sections"," 373","001","Data Processing","LEC","A R","M","","W","","","","","01/03/2018","04/17/2018","330-5PM","1610 IOE","Garcia-Guzman"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Engineering","32480","Industrial And Operations Engineering (IOE) Open Sections"," 410","001","Adv Optim Methods","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","12-130PM","1680 IOE","Nagarajan","  40","  40","N","3.00",
"Winter 2018","Second 7 Week Session","Engineering","17229","Industrial And Operations Engineering (IOE) Open Sections"," 416","001","Queueing Systems","LEC","P R","","T","","TH","","","","03/05/2018","04/17/2018","3-5PM","1017 DOW","Blumenfeld","  75","  75","Y","2.00",
"Winter 2018","Regular Academic Session","Engineering","22695","Industrial And Operations Engineering (IOE) Open Sections"," 419","001","Service Oper Mgmt","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","9-1030AM","133 CHRYS","Daskin","  60","  60","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10760","Industrial And Operations Engineering (IOE) Open Sections"," 424","001","Practicum Prod&Srv","LEC","P R","M","","","","","","","01/03/2018","04/17/2018","7-9PM","1610 IOE","Reaume","  35","  35","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","21825","Industrial And Operations Engineering (IOE) Open Sections"," 424","002","Practicum Prod&Srv","LEC","P R","","","","TH","","","","01/03/2018","04/17/2018","6-8PM","1680 IOE","Sathe","  30","  30","N","4.00",
"Winter 2018","First 7 Week Session","Engineering","10761","Industrial And Operations Engineering (IOE) Open Sections"," 425","001","Lean Mfg&Services","LEC","P R","M","","W","","","","","01/03/2018","02/20/2018","330-530PM","G906 COOL","Levantrosser","  50","  50","Y","2.00",
"Winter 2018","Second 7 Week Session","Engineering","16794","Industrial And Operations Engineering (IOE) Open Sections"," 425","002","Lean Mfg&Services","LEC","P R","M","","W","","","","","03/05/2018","04/17/2018","5-7PM","1610 IOE","Levantrosser","  60","  60","Y","2.00",
"Winter 2018","Regular Academic Session","Engineering","10762","Industrial And Operations Engineering (IOE) Open Sections"," 436","001","Human Factors","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","130-3PM","1680 IOE","Green","  40","  40","Y","3.00",
"Winter 2018","First 7 Week Session","Engineering","14282","Industrial And Operations Engineering (IOE) Open Sections"," 438","001","Occup Safety Mgt","LEC","P R","M","","","","","","","01/03/2018","02/20/2018","5-7PM","1303 EECS","Rhoades","  70","  70","Y","2.00",
"Winter 2018","First 7 Week Session","Engineering","14282","Industrial And Operations Engineering (IOE) Open Sections"," 438","001","Occup Safety Mgt","LEC","P R","","T","","","","","","01/03/2018","02/20/2018","5-7PM","1303 EECS","","  70","  70","Y","2.00",
"Winter 2018","Regular Academic Session","Engineering","10763","Industrial And Operations Engineering (IOE) Open Sections"," 441","001","Prod&Inv Contrl","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","530-7PM","1610 IOE","Gusikhin"," 120"," 120","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","22496","Industrial And Operations Engineering (IOE) Open Sections"," 449","001","Matl Handling Sys","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","130-3PM","1121 LBME","Bozer","  40","  40","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","14281","Industrial And Operations Engineering (IOE) Open Sections"," 453","001","Derivative Instrumts","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","12-130PM","2153 GGBL","Saigal","  50","  50","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","21210","Industrial And Operations Engineering (IOE) Open Sections"," 463","001","Measure&Des of Work","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","1680 IOE","Armstrong","  30","  30","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","25401","Industrial And Operations Engineering (IOE) Open Sections"," 465","001","Design of Experimnts","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","130-3PM","1680 IOE","Yang","  40","  40","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","10764","Industrial And Operations Engineering (IOE) Open Sections"," 466","001","Stat Quality Control","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","12-130PM","1670 BEYSTER","Jin"," 100"," 100","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","10766","Industrial And Operations Engineering (IOE) Open Sections"," 474","002","Simulation","LAB","P R","","","W","","","","","01/03/2018","04/17/2018","130-230PM","G610 IOE","","  28","  28","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10767","Industrial And Operations Engineering (IOE) Open Sections"," 474","003","Simulation","LAB","P R","","","W","","","","","01/03/2018","04/17/2018","230-330PM","G610 IOE","","  28","  28","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10768","Industrial And Operations Engineering (IOE) Open Sections"," 474","004","Simulation","LAB","P R","","","W","","","","","01/03/2018","04/17/2018","330-430PM","G610 IOE","","  28","  28","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10769","Industrial And Operations Engineering (IOE) Open Sections"," 474","005","Simulation","LAB","P R","","","W","","","","","01/03/2018","04/17/2018","430-530PM","G610 IOE","","  28","  28","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","17459","Industrial And Operations Engineering (IOE) Open Sections"," 474","006","Simulation","LAB","P R","","","W","","","","","01/03/2018","04/17/2018","530-630PM","G610 IOE","","  27","  27","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","10765","Industrial And Operations Engineering (IOE) Open Sections"," 474","001","Simulation","LEC","A R","","T","","TH","","","","01/03/2018","04/17/2018","130-3PM","1610 IOE","Garcia-Guzman"," "," "," ","4.00",
"Winter 2018","Regular Academic Session","Engineering","10770","Industrial And Operations Engineering (IOE) Open Sections"," 481","001","Practicum Hosp Sys","LEC","P R","","T","","","","","","01/03/2018","04/17/2018","7-9PM","1610 IOE","Van Oyen","  40","  40","N","4.00",
"Winter 2018","Regular Academic Session","Engineering","25537","Industrial And Operations Engineering (IOE) Open Sections"," 506","001","Analysis for Finance","LEC","P R","","T","","TH","","","","01/03/2018","04/17/2018","10-1130AM","3866 EH","Bayraktar","  19","  19","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","10773","Industrial And Operations Engineering (IOE) Open Sections"," 510","001","Linear Pro I","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","9-1030AM","1680 IOE","Nagarajan","  25","  25","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","22495","Industrial And Operations Engineering (IOE) Open Sections"," 511","001","Cont Optimum Methods","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","9-1030AM","1014 DOW","Epelman","  40","  40","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","19493","Industrial And Operations Engineering (IOE) Open Sections"," 516","001","Stochastic Proc II","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","330-5PM","1680 IOE","Shi","  35","  35","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","24639","Industrial And Operations Engineering (IOE) Open Sections"," 534","001","Occup Biomec","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","9-1030AM","G699 IOE","Martin","  30","  30","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","32716","Industrial And Operations Engineering (IOE) Open Sections"," 543","001","Scheduling","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","1005 EECS","","  30","  30","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","32674","Industrial And Operations Engineering (IOE) Open Sections"," 547","001","Supply Chain Fac","LEC","P R","M","","W","","","","","01/03/2018","04/17/2018","1030-12PM","2153 GGBL","Bozer","  40","  40","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","28323","Industrial And Operations Engineering (IOE) Open Sections"," 551","001","Benchmark Prod Anal","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","1680 IOE","Seiford","  30","  30","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","25955","Industrial And Operations Engineering (IOE) Open Sections"," 574","001","Simulation Analysis","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","12-130PM","1690 BEYSTER","","  40","  40","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","17098","Industrial And Operations Engineering (IOE) Open Sections"," 590","002","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Cohn","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16171","Industrial And Operations Engineering (IOE) Open Sections"," 590","007","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Armstrong","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","17931","Industrial And Operations Engineering (IOE) Open Sections"," 590","010","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Sarter","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16099","Industrial And Operations Engineering (IOE) Open Sections"," 590","012","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Saigal","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16656","Industrial And Operations Engineering (IOE) Open Sections"," 590","014","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Murty","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16675","Industrial And Operations Engineering (IOE) Open Sections"," 590","015","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Pollock","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16983","Industrial And Operations Engineering (IOE) Open Sections"," 590","020","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Liu","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","18446","Industrial And Operations Engineering (IOE) Open Sections"," 590","021","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Van Oyen","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","18293","Industrial And Operations Engineering (IOE) Open Sections"," 590","023","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Jin","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","20653","Industrial And Operations Engineering (IOE) Open Sections"," 590","025","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Daskin","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16723","Industrial And Operations Engineering (IOE) Open Sections"," 590","026","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Seiford","   1","   1","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","18008","Industrial And Operations Engineering (IOE) Open Sections"," 590","027","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Martin","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","20228","Industrial And Operations Engineering (IOE) Open Sections"," 590","036","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Bozer","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","17136","Industrial And Operations Engineering (IOE) Open Sections"," 590","040","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Keyserling","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","17981","Industrial And Operations Engineering (IOE) Open Sections"," 590","045","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Woolley","   1","   1","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","16626","Industrial And Operations Engineering (IOE) Open Sections"," 590","051","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Frantz","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","23906","Industrial And Operations Engineering (IOE) Open Sections"," 590","060","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Chao","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","20177","Industrial And Operations Engineering (IOE) Open Sections"," 590","062","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Romeijn","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","21532","Industrial And Operations Engineering (IOE) Open Sections"," 590","064","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Burns","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","22254","Industrial And Operations Engineering (IOE) Open Sections"," 590","066","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Shen","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","22133","Industrial And Operations Engineering (IOE) Open Sections"," 590","067","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Byon","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","22822","Industrial And Operations Engineering (IOE) Open Sections"," 590","072","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Denton","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","22993","Industrial And Operations Engineering (IOE) Open Sections"," 590","073","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Shi","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","26749","Industrial And Operations Engineering (IOE) Open Sections"," 590","075","Masters Direct Study","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Garcia-Guzman","  25","  25","N","2.00-4.00",
"Winter 2018","Regular Academic Session","Engineering","30887","Industrial And Operations Engineering (IOE) Open Sections"," 591","003","Special Topics","LEC","P  ","","","","","F","","","01/03/2018","04/17/2018","1030-130PM","224 GFL","Mondisa","  35","  35","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","26155","Industrial And Operations Engineering (IOE) Open Sections"," 591","007","Special Topics","LEC","P  ","","","","","F","","","01/03/2018","04/17/2018","2-4PM","G699 IOE","Armstrong","  30","  30","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","31006","Industrial And Operations Engineering (IOE) Open Sections"," 591","012","Special Topics","LEC","PI ","","T","","","","","","01/10/2018","04/18/2018","3-4PM","ARR","Saigal, Hines Jr, Uhlmann","   3","   3","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","31006","Industrial And Operations Engineering (IOE) Open Sections"," 591","012","Special Topics","LEC","P  ","","T","","","","","","01/10/2018","04/18/2018","410-610PM","ARR","","   3","   3","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","28345","Industrial And Operations Engineering (IOE) Open Sections"," 591","079","Special Topics","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","151 CHRYS","Guikema","  75","  75","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","31247","Industrial And Operations Engineering (IOE) Open Sections"," 591","100","Special Topics","LEC","P  ","","T","","TH","","","","01/03/2018","04/17/2018","1030-12PM","G699 IOE","D'Souza, Martin","  20","  20","N","3.00",
"Winter 2018","Regular Academic Session","Engineering","24175","Industrial And Operations Engineering (IOE) Open Sections"," 614","001","Integer Prog","LEC","P  ","M","","W","","","","","01/03/2018","04/17/2018","12-130PM","1680 IOE","Lee","  40","  40","Y","3.00",
"Winter 2018","Regular Academic Session","Engineering","28317","Industrial And Operations Engineering (IOE) Open Sections"," 691","082","Special Topics","LEC","P R","","","","","F","","","01/03/2018","04/17/2018","9-12PM","2918 COOL","Van Hentenryck","  20","  20","Y","1.00-16.00",
"Winter 2018","Regular Academic Session","Engineering","16999","Industrial And Operations Engineering (IOE) Open Sections"," 801","002","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Cohn","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","29151","Industrial And Operations Engineering (IOE) Open Sections"," 801","003","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Mondisa","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16117","Industrial And Operations Engineering (IOE) Open Sections"," 801","006","First Yr Doc Dir Res","IND"," IR","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Nair","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16172","Industrial And Operations Engineering (IOE) Open Sections"," 801","007","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Armstrong","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16726","Industrial And Operations Engineering (IOE) Open Sections"," 801","008","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Yang","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17897","Industrial And Operations Engineering (IOE) Open Sections"," 801","010","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Sarter","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","20188","Industrial And Operations Engineering (IOE) Open Sections"," 801","012","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Saigal","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17102","Industrial And Operations Engineering (IOE) Open Sections"," 801","015","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Pollock","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","20035","Industrial And Operations Engineering (IOE) Open Sections"," 801","018","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Hu","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16984","Industrial And Operations Engineering (IOE) Open Sections"," 801","020","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Liu","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","18073","Industrial And Operations Engineering (IOE) Open Sections"," 801","021","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Van Oyen","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","18074","Industrial And Operations Engineering (IOE) Open Sections"," 801","023","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Jin","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","20663","Industrial And Operations Engineering (IOE) Open Sections"," 801","025","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Daskin","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17094","Industrial And Operations Engineering (IOE) Open Sections"," 801","026","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Seiford","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16183","Industrial And Operations Engineering (IOE) Open Sections"," 801","027","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Martin","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16610","Industrial And Operations Engineering (IOE) Open Sections"," 801","030","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Smith","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17079","Industrial And Operations Engineering (IOE) Open Sections"," 801","031","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Duenyas","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","29619","Industrial And Operations Engineering (IOE) Open Sections"," 801","032","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Green","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","21377","Industrial And Operations Engineering (IOE) Open Sections"," 801","033","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Lavieri","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17041","Industrial And Operations Engineering (IOE) Open Sections"," 801","034","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Liker","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","23716","Industrial And Operations Engineering (IOE) Open Sections"," 801","036","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Bozer","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","16187","Industrial And Operations Engineering (IOE) Open Sections"," 801","040","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Keyserling","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","17096","Industrial And Operations Engineering (IOE) Open Sections"," 801","057","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Epelman","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","19719","Industrial And Operations Engineering (IOE) Open Sections"," 801","060","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Chao","  25","  25","N","1.00-3.00",
"Winter 2018","Regular Academic Session","Engineering","21402","Industrial And Operations Engineering (IOE) Open Sections"," 801","061","First Yr Doc Dir Res","IND"," I ","","","","","","","","01/03/2018","04/17/2018","ARR","ARR","Hughes","  25","  25","N","1.00-3.00",
